,home_or_away,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ,name
0,Away,496,6293,185,138,254,12742,68.87567567567568,34.016216216216215,2.9632710720452047,anderson
1,Home,809,8746,368,214,394,18321,49.78532608695652,23.76630434782609,2.86425413459964,anderson
2,Neutral,63,452,22,12,26,1296,58.90909090909091,20.545454545454547,2.092592592592593,anderson
0,Away,24,209,2,7,6,492,246.0,104.5,2.548780487804878,archer
1,Home,34,446,22,15,20,936,42.54545454545455,20.272727272727273,2.8589743589743586,archer
0,Away,408,4955,146,179,204,10312,70.63013698630138,33.938356164383556,2.8830488750969745,broad
1,Home,587,8143,305,317,365,15806,51.82295081967214,26.698360655737705,3.0911046438061494,broad
2,Neutral,66,457,20,25,26,1252,62.6,22.85,2.1900958466453675,broad
0,Away,22,449,8,22,20,787,98.375,56.125,3.4231257941550197,curran
1,Home,25,398,19,48,34,761,40.05263157894737,20.94736842105263,3.137976346911958,curran
0,Away,193,2075,72,90,108,4653,64.625,28.819444444444446,2.675693101225016,philander
1,Home,265,2574,138,110,153,5797,42.0072463768116,18.65217391304348,2.664136622390892,philander
2,Neutral,15,138,6,8,10,330,55.0,23.0,2.5090909090909093,philander
0,Away,110,1689,56,75,60,3217,57.44642857142857,30.160714285714285,3.150139881877527,rabada
1,Home,144,2429,127,115,117,4153,32.7007874015748,19.125984251968504,3.5092704069347462,rabada
0,Away,84,1207,22,70,56,2420,110.0,54.86363636363637,2.9925619834710737,woakes
1,Home,117,1642,70,121,92,3108,44.4,23.457142857142852,3.169884169884169,woakes
0,Away,16,207,8,14,12,380,47.5,25.875,3.2684210526315782,wood
1,Home,62,968,22,53,41,1651,75.04545454545455,44.0,3.5178679588128405,wood
2,Neutral,17,170,6,14,8,377,62.83333333333334,28.33333333333333,2.7055702917771884,wood
