opposition,home_or_away,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Australia,Away,181,2126,60,45,78,4323,72.05,35.43333333333333,2.9507286606523246
Australia,Home,104,1469,44,25,61,2728,62.0,33.38636363636363,3.230938416422287
Bangladesh,Home,21,223,9,4,10,504,56.0,24.77777777777778,2.6547619047619047
India,Away,71,870,26,23,43,1859,71.5,33.46153846153846,2.8079612694997307
India,Home,193,1988,84,38,85,4178,49.73809523809524,23.666666666666668,2.854954523695548
New Zealand,Away,58,853,26,16,31,1530,58.84615384615385,32.80769230769231,3.3450980392156864
New Zealand,Home,63,757,34,20,35,1423,41.85294117647059,22.264705882352942,3.191848208011244
Pakistan,Home,96,719,41,17,45,1768,43.1219512195122,17.536585365853657,2.4400452488687785
Pakistan,Neutral,63,452,22,12,26,1296,58.90909090909091,20.545454545454547,2.0925925925925926
South Africa,Away,55,998,25,19,30,1891,75.64,39.92,3.166578529878371
South Africa,Home,139,1755,59,49,69,3649,61.847457627118644,29.74576271186441,2.8857221156481225
Sri Lanka,Away,36,553,12,18,26,1060,88.33333333333333,46.083333333333336,3.1301886792452835
Sri Lanka,Home,81,688,40,14,31,1635,40.875,17.2,2.524770642201835
West Indies,Away,95,893,36,17,46,2079,57.75,24.805555555555557,2.5772005772005775
West Indies,Home,94,924,46,42,48,2052,44.608695652173914,20.08695652173913,2.7017543859649122
Zimbabwe,Home,18,223,11,5,10,384,34.90909090909091,20.272727272727273,3.484375
