Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
MP Stoinis,17,17,4,705,147*,54.23,516,136.62,1,6,1,62,28
AD Hales,17,17,2,576,85,38.4,392,146.93,0,6,2,59,23
JR Philippe,16,16,3,487,83*,37.46,375,129.86,0,5,0,41,16
JW Wells,15,14,7,478,68*,68.28,353,135.41,0,4,0,38,9
SE Marsh,12,12,0,449,63,37.41,362,124.03,0,3,0,40,14
LS Livingstone,14,14,0,425,79,30.35,298,142.61,0,4,1,26,27
BJ Webster,14,14,4,425,67*,42.5,322,131.98,0,3,0,26,17
J Weatherald,15,15,1,407,83,29.07,304,133.88,0,2,0,47,13
JP Inglis,14,14,0,405,73,28.92,263,153.99,0,4,0,41,15
GJ Maxwell,17,16,6,398,83*,39.8,268,148.5,0,3,0,28,20
AT Carey,11,11,0,391,55,35.54,312,125.32,0,1,0,30,13
UT Khawaja,17,17,0,388,66,22.82,312,124.35,0,3,2,42,5
CA Lynn,14,14,1,387,94,29.76,260,148.84,0,2,1,36,23
MR Marsh,14,14,3,382,93*,34.72,263,145.24,0,2,0,19,20
CJ Ferguson,17,17,4,376,73*,28.92,297,126.59,0,3,0,35,8
AI Ross,17,15,5,372,58,37.2,286,130.06,0,2,0,25,14
AJ Finch,9,9,1,363,109,45.37,261,139.08,1,3,1,23,16
PD Salt,15,15,1,361,67*,25.78,220,164.09,0,4,2,45,12
DJM Short,9,9,1,357,103*,44.62,272,131.25,1,3,2,28,14
MS Wade,9,8,1,351,130*,50.14,205,171.21,1,3,0,30,15
MT Renshaw,14,14,2,348,65,29.0,268,129.85,0,3,2,27,13
JM Vince,15,15,1,323,51,23.07,262,123.28,0,1,0,24,9
NCR Larkin,14,11,3,297,83*,37.12,217,136.86,0,2,1,29,8
CT Bancroft,14,13,3,290,51,29.0,257,112.84,0,2,1,16,7
SB Harper,12,12,1,279,73,25.36,193,144.55,0,2,2,28,10
MC Henriques,14,14,3,267,72,24.27,180,148.33,0,1,1,12,15
DP Hughes,16,15,2,267,40,20.53,215,124.18,0,0,2,28,4
BR McDermott,15,14,4,265,51*,26.5,216,122.68,0,1,0,11,11
HWR Cartwright,9,8,2,230,59,38.33,182,126.37,0,2,0,27,6
TM Head,8,7,0,228,79,32.57,162,140.74,0,1,0,19,10
T Banton,7,7,0,223,64,31.85,126,176.98,0,3,0,18,16
BCJ Cutting,14,13,4,217,43*,24.11,177,122.59,0,0,0,17,10
DA Miller,14,12,3,198,90*,22.0,151,131.12,0,1,2,10,9
PSP Handscomb,12,10,4,188,65*,31.33,146,128.76,0,1,0,14,5
JC Silk,16,10,3,188,36*,26.85,177,106.21,0,0,0,7,3
CP Jewell,11,10,0,181,31,18.1,164,110.36,0,0,1,21,1
MW Short,15,13,2,176,41,16.0,128,137.5,0,0,2,11,8
GJ Bailey,14,9,1,173,43,21.62,116,149.13,0,0,1,15,8
Mohammad Nabi,6,6,3,160,63,53.33,100,160.0,0,1,0,11,7
M Wright,5,4,1,149,70*,49.66,119,125.21,0,2,0,11,5
AB de Villiers,6,6,0,146,71,24.33,104,140.38,0,1,0,8,6
M Bryant,10,10,0,145,65,14.5,101,143.56,0,1,0,19,5
NJ Maddinson,14,14,0,143,40,10.21,161,88.81,0,0,2,17,2
SD Heazlett,8,8,0,133,56,16.62,104,127.88,0,1,0,16,2
TK Curran,14,10,3,133,43*,19.0,89,149.43,0,0,0,13,4
DT Christian,14,14,4,128,32*,12.8,101,126.73,0,0,3,8,5
Rashid Khan,15,12,4,124,40,15.5,81,153.08,0,0,3,10,8
SPD Smith,4,4,1,120,66*,40.0,79,151.89,0,1,0,12,3
MS Harris,9,9,0,119,42,13.22,113,105.3,0,0,0,9,4
CH Morris,15,13,4,112,21,12.44,76,147.36,0,0,0,9,4
