home_or_away,opposition,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Away,Australia,20,336,15,17,16,649,43.266666666666666,22.4,3.106317411402157
Away,England,28,455,16,15,12,810,50.625,28.4375,3.3703703703703707
Away,India,37,396,9,25,16,834,92.66666666666667,44.0,2.8489208633093526
Away,New Zealand,21,311,8,10,8,600,75.0,38.875,3.11
Away,Sri Lanka,4,191,8,8,8,324,40.5,23.875,3.5370370370370368
Home,Australia,40,443,23,18,20,845,36.73913043478261,19.26086956521739,3.145562130177515
Home,Bangladesh,13,180,15,6,11,353,23.533333333333335,12.0,3.0594900849858355
Home,England,17,482,22,13,16,658,29.90909090909091,21.90909090909091,4.395136778115502
Home,India,21,304,15,18,16,626,41.733333333333334,20.266666666666666,2.9137380191693287
Home,New Zealand,6,116,5,6,6,177,35.4,23.2,3.932203389830508
Home,Pakistan,14,318,17,18,14,518,30.470588235294116,18.705882352941178,3.6833976833976836
Home,Sri Lanka,28,562,27,29,29,897,33.22222222222222,20.814814814814813,3.759197324414716
Home,Zimbabwe,5,24,3,7,5,79,26.333333333333332,8.0,1.8227848101265822
