opposition,home_or_away,mdns,runs,wkts,pos,inns,total_balls,strike_rate,average,econ
Australia,Away,32,495,10,24,16,1002,100.2,49.5,2.964071856287425
Australia,Home,24,427,11,30,21,714,64.9090909090909,38.81818181818182,3.5882352941176467
Bangladesh,Away,8,69,3,13,10,150,50.0,23.0,2.7600000000000002
India,Away,16,244,3,10,14,462,154.0,81.33333333333333,3.1688311688311686
India,Home,31,384,13,32,22,774,59.53846153846154,29.53846153846154,2.9767441860465116
Ireland,Home,4,51,6,4,6,106,17.666666666666668,8.5,2.8867924528301887
New Zealand,Away,19,202,4,11,6,450,112.5,50.5,2.6933333333333334
Pakistan,Home,34,508,30,35,26,993,33.1,16.933333333333334,3.069486404833837
South Africa,Away,9,197,2,12,10,356,178.0,98.5,3.320224719101123
Sri Lanka,Home,18,150,8,13,11,321,40.125,18.75,2.803738317757009
West Indies,Home,6,122,2,7,6,200,100.0,61.0,3.66
